group,lb,ub,epsilonG,ELAL,n
All,0.009,0.036,0.02217129,0.027,3317
< 25,0.024,0.073,0.04830475,0.049,999
25 - 45,0.006,0.041,0.02352997,0.035,1924
> 45,-0.092,-0.01,-0.05072576,0.082,394
M,0.029,0.059,0.04402827,0.03,2726
F,-0.112,-0.045,-0.07864454,0.067,591
M (< 25),0.066,0.119,0.09287563,0.053,798
F (< 25),-0.185,-0.071,-0.1286483,0.114,201
M (25 - 45),0.015,0.054,0.03452826,0.039,1593
F (25 - 45),-0.074,0.015,-0.02940136,0.089,331
M (> 45),-0.071,0.016,-0.02715579,0.087,335
F (> 45),-0.285,-0.078,-0.1845552,0.207,59
